x,y,time,x_f,y_f
409,147,1688676266.7699208,919.323718115065,295.29054467901216
417,163,1688676266.8735812,891.2573123162449,287.0340901278533
424,177,1688676266.9932618,863.3664176238073,278.91741795364095
449,209,1688676267.092102,835.8646788974653,271.08459783325253
485,228,1688676267.2008793,809.0083144556924,263.69361540188623
539,245,1688676267.3162913,783.107701441444,256.86860235742256
516,258,1688676267.4309707,758.3910371039836,250.68657009964593
508,254,1688676267.531529,734.8784393138726,245.17313494745716
517,257,1688676267.6410475,712.536941839633,240.30192197319428
538,275,1688676267.750507,691.419487198565,236.06313818867696
576,301,1688676267.8609788,671.6511831239729,232.51019254500838
609,274,1688676267.979177,653.3960887126501,229.6546514996375
599,247,1688676268.129891,636.7394356941649,227.35932064003447
605,251,1688676268.2414765,621.6383347775713,225.46595968779582
630,272,1688676268.341961,608.0570132381539,223.94627562593496
650,306,1688676268.4578629,596.0262942803593,222.8869475375362
675,338,1688676268.5600188,585.5851716690472,222.4228548265465
667,336,1688676268.6715732,576.7182386589965,222.6345985312811
644,331,1688676268.7923152,569.2912378190755,223.4834761189385
664,329,1688676268.891299,563.1463332713075,224.8769643494966
680,326,1688676269.0005844,558.2328737409596,226.73201684041746
645,289,1688676269.1043546,554.4749062558235,228.9233172466291
665,278,1688676269.2168117,551.7230482352184,231.2738232067306
700,268,1688676269.3271778,549.9460751654593,233.65200749060003
679,258,1688676269.436205,549.1527928747361,235.9810125716104
639,266,1688676269.543059,549.1755107604263,238.22017179368424
611,278,1688676269.649117,549.739371742322,240.39217979950874
577,278,1688676269.7632425,550.5938149191217,242.53823008728602
589,293,1688676269.8673701,551.5802877251181,244.6880131533318
625,339,1688676269.9744978,552.7171785155022,246.9398026328012
606,365,1688676270.1267197,554.0771506597468,249.464372487229
670,316,1688676270.2601097,555.7195218227196,252.28995986330514
673,255,1688676270.3804853,557.7689066919903,255.17364191199889
665,223,1688676270.5112643,560.261227184987,257.7952519342651
606,192,1688676270.5857856,563.0298714452268,259.9386575249615
512,167,1688676270.6972833,565.7074918642232,261.4674377631123
467,157,1688676270.7907677,567.8605381072462,262.3041175040781
392,163,1688676270.8857572,569.1524705851998,262.45955001302804
364,162,1688676271.022412,569.3399123059294,262.0059903328314
356,144,1688676271.1314776,568.3345346477938,260.9896964764164
410,115,1688676271.2477672,566.2824076577783,259.3792313407232
401,87,1688676271.365187,563.4389307015362,257.09431846481806
438,67,1688676271.4905488,560.0109063351416,254.06561584435923
490,45,1688676271.6555135,556.2512044981494,250.25739312733674
438,70,1688676271.8367636,552.3470341690364,245.71690274003836
342,169,1688676271.9351022,548.119807904983,240.73371499492035
357,189,1688676272.0662742,543.2930523019336,235.73932474363474
395,190,1688676272.1848235,537.9171424094959,230.96909835682723
404,169,1688676272.2994528,532.2277429994526,226.42883853240076
457,157,1688676272.43061,526.4507256382539,222.04334136188083
530,176,1688676272.5494907,520.9043481479899,217.78393658933985
514,210,1688676272.6652932,515.8647018078367,213.75012650300013
479,209,1688676272.7853098,511.3167460652604,210.0676805751759
483,210,1688676272.9004207,507.115323205541,206.76948819514098
487,213,1688676273.0228403,503.21489292737294,203.8402747413419
442,232,1688676273.150678,499.5583068253981,201.2964179605328
453,254,1688676273.2733684,496.0315207455482,199.2044787940553
441,249,1688676273.419022,492.5902886802607,197.61404705595345
449,278,1688676273.5484445,489.23843683336946,196.54167075998708
411,291,1688676273.6797433,485.9364129314054,196.03571966416916
465,388,1688676273.8051708,482.67781333106325,196.26204923522417
480,316,1688676273.9324756,479.6015778220739,197.33988488070221
517,270,1688676274.0805762,476.8836544759655,199.03715381159105
483,191,1688676274.1654103,474.5827589097461,200.92300042200478
483,157,1688676274.285509,472.6230916783396,202.6181318409213
507,119,1688676274.397926,470.96557456317333,203.86187794910904
531,88,1688676274.528506,469.69351091786746,204.48805780024637
530,46,1688676274.6411066,468.87771551399186,204.35013328590517
486,14,1688676274.7722847,468.44273772003436,203.31414427655983
460,-5,1688676274.8912604,468.18269774327865,201.29769384381478
412,-22,1688676275.0162678,467.86990789665555,198.28842572206767
406,-57,1688676275.129226,467.324375525144,194.27963371508272
408,-17,1688676275.2379944,466.48888635119874,189.33118908458104
334,60,1688676275.3630855,465.2875959784433,183.74955881672727
296,109,1688676275.4853463,463.49668598291873,177.98979084587148
282,88,1688676275.6134567,460.94862487935904,172.32979741550486
302,57,1688676275.7275045,457.67068474404215,166.75708634086368
287,121,1688676275.85513,453.7749820054017,161.2672885378563
351,114,1688676275.9588954,449.4283968103761,156.01557174980135
349,169,1688676276.0818455,444.86632623666657,151.16133636304383
298,188,1688676276.2062922,440.15133823582414,146.869764303433
